feature,frequency
great,814
amp,622
rt,410
peopl,373
new,356
countri,316
presid,285
thank,281
just,272
tax,267
democrat,262
now,260
big,256
today,255
fake,253
trump,248
year,247
get,244
american,242
america,239
state,238
u.s,231
work,229
mani,228
job,222
time,209
go,207
want,199
make,198
border,195
republican,191
nation,183
much,179
look,174
good,170
must,169
🇺🇸,165
meet,164
honor,163
vote,158
day,157
cut,155
back,153
senat,151
media,151
come,148
trade,147
bad,144
hous,141
even,138
