collocation,count,count_nested,length,lambda,z
prime minister alexis tsipras,2,0,4,15.031662395858227,3.101604482226161
united states supreme court,4,0,4,12.627772643045592,2.9256920375763973
が でき ま した,2,0,4,14.28536730142282,2.745831441205944
prime minister shinzo abe,4,0,4,12.280350769873857,2.655562659310914
the democrats in the,2,0,4,5.014188815894421,2.509585215984305
prime minister theresa may,2,0,4,11.475995193418445,2.4723975726141005
EVERY SINGLE DAY AFTER,3,0,4,12.42459620777767,2.393225182387572
single greatest witch hunt,2,0,4,10.034548197564629,2.34858176819996
こと が でき ま,2,0,4,12.088142724086602,2.3234966002082387
rigged russia witch hunt,2,0,4,10.15274034134183,2.2451888867565866
puerto rico has been,2,0,4,9.951279426036947,2.1967921008338225
at the same time,8,0,4,6.56444037511563,2.1933994786287605
thank you stuart varney,2,0,4,10.140141755549525,2.1374626381508914
for the first time,11,0,4,5.969391218531953,2.083478761159327
MAKING AMERICA GREAT AGAIN,15,0,4,8.495942417719526,2.0347940223503787
FBI agent peter strzok,3,0,4,9.237005103030704,1.9878942954383814
we will continue to,4,0,4,5.16256204235288,1.9860905865206502
white house this afternoon,2,0,4,8.603708139110779,1.975972287812169
national pearl harbor remembrance,2,0,4,9.077168795692767,1.9498217191490748
pearl harbor remembrance day,2,0,4,9.027544250039256,1.9349527060226828
jong un and myself,2,0,4,8.844422412131744,1.9259918177116055
pushing comprehensive background checks,2,0,4,8.952367177272965,1.9106652186955606
MS 13 gang members,2,0,4,8.316857821190705,1.8942483837608977
president obama did NOTHING,2,0,4,6.86105973725013,1.8793437580413874
fmr intel comm inspector,2,0,4,9.37999875481674,1.8751658260049615
the state of the,2,0,4,4.589627509564319,1.8661197918192425
diversity visa lottery program,2,0,4,8.74389745468827,1.8536609336156795
record high stock market,2,0,4,7.642631405192746,1.8331336563792038
fake news washington post,3,0,4,7.477836952340255,1.8272353477722105
WE ARE WITH YOU,2,0,4,7.913492881161332,1.8071251031036226
delivering MASSIVE tax cuts,2,0,4,7.615594782461082,1.8056747045666277
very expensive witch hunt,2,0,4,8.074688028040455,1.7983699170438432
want to talk and,2,0,4,5.979797588970457,1.7899894227698374
$ 716 billion dollars,2,0,4,7.213084363525832,1.789014952220247
phony witch hunt going,2,0,4,7.886435504434744,1.7831453506560457
to be with the,2,0,4,3.393678528465175,1.7638680123026793
lake worth inlet station,2,0,4,8.532700894429537,1.7507848328307565
the terrible loss of,2,0,4,5.8127260017625115,1.7445008982892487
TRUMP APPROVAL HITS 50,2,0,4,8.632690576025574,1.7298181261519423
IN GOD WE TRUST,2,0,4,8.080603237278005,1.7278744588674728
SAFE AND GREAT AGAIN,3,0,4,7.545408007084873,1.7253544713263067
behalf of @flotus melania,6,0,4,7.4564602558326065,1.7244468091330294
to rebuild our military,4,0,4,5.525408852671005,1.7096679279630567
totally destroys james comey,2,0,4,7.293383913067482,1.706198437425052
greatest witch hunt in,5,0,4,7.222685538677408,1.7044284891721717
MAKE AMERICA GREAT AGAIN,48,0,4,7.06082051951272,1.702776871131874
people of south carolina,6,0,4,6.199067090580554,1.6805070845927892
to welcome prime minister,6,0,4,6.5440613382906925,1.671327271273737
i am pleased to,5,0,4,5.863979794681259,1.6699130001802396
jonathan turley on @foxnews,2,0,4,7.96653483404068,1.6663782499247817
MAKE AMERICA SAFE AND,2,0,4,6.993959983753967,1.6492697851946558
three UCLA basketball players,2,0,4,7.896336967089501,1.6379243015646305
716 billion dollars gotten,2,0,4,7.25877828074458,1.6342088721626273
phony russian witch hunt,2,0,4,6.867994099397303,1.6211766392527145
relationship with kim jong,3,0,4,6.355532762292601,1.6095967179051462
walter reed medical center,5,0,4,7.734636438857011,1.606648107847116
we will MAKE AMERICA,3,0,4,6.171739095593656,1.597032509044777
intel comm inspector general,2,0,4,7.433769728207705,1.5844271557417626
we are bringing back,3,0,4,5.098912934687879,1.5802035855162184
MAKE AMERICA SAFE AGAIN,4,0,4,6.36899341514253,1.5784004882219287
at the lowest level,2,0,4,4.603062914950302,1.5664356567583635
to enter our country,2,0,4,5.154225066523911,1.5574416778144051
live from the @whitehouse,2,0,4,5.133584471464854,1.5451294882311335
wanting to give up,2,0,4,6.053810233750458,1.537604587987927
united states post office,2,0,4,6.3581382609886115,1.5349093059049224
there was a spy,2,0,4,5.544576171655909,1.5307786050438283
prime minister of italy,2,0,4,5.9903635550502985,1.5261902797132376
his lover lisa page,2,0,4,7.154335360407092,1.5204101887227546
main street roaring back,2,0,4,6.743630783177453,1.5177074816992981
sleepy eyes chuck todd,2,0,4,7.325781244160249,1.5130372937189227
as we continue to,3,0,4,4.7309586190602895,1.508138513406449
CUT THE RED TAPE,2,0,4,7.4860113502728245,1.508074826300549
MUCH MORE TO COME,2,0,4,7.292164633361264,1.5064937646702476
ensure violent criminal aliens,2,0,4,6.6358928328885955,1.5015198208906426
and will not be,2,0,4,3.944386187069414,1.4965472120996623
#makeamericagreatagain 🇺🇸 🇺🇸 🇺🇸,4,0,4,5.825227376760937,1.488182759328095
pleased to inform you,3,0,4,6.214510276047201,1.4852103196316442
to MAKE AMERICA GREAT,8,0,4,5.380871698983941,1.472994208498713
deputy director andrew mccabe,2,0,4,6.554340589637707,1.4690186557343785
$ 20 billion investment,2,0,4,5.882290183607202,1.4519214160027305
dicky durbin totally misrepresented,2,0,4,7.232780053476502,1.4516166672327642
IS OPEN FOR BUSINESS,3,0,4,6.7718819649125335,1.4397076768581507
i had the great,2,0,4,3.9214166943933684,1.4043477824841695
there is so much,2,0,4,4.401963422460439,1.402021756978663
we are not in,2,0,4,3.324789034449282,1.369828058712475
the biggest tax cut,4,0,4,4.357670739803384,1.3634080182935333
IG report totally destroys,2,0,4,6.226826465671545,1.3471901898979637
at the highest levels,2,0,4,4.5123816213974095,1.3422483864825154
almost 800 billion dollars,3,0,4,5.562796840152189,1.3280296225140664
am pleased to inform,3,0,4,5.521544084226628,1.3233016885355462
people of puerto rico,4,0,4,5.701636358745583,1.3218165954206964
we will be with,2,0,4,3.2322726124204832,1.311479334054348
TRUSTED NAME IN NEWS,2,0,4,6.495406282744289,1.3110903011610666
meeting with prime minister,5,0,4,5.087150760893883,1.3097472505198873
moon of south korea,6,0,4,4.879719697749255,1.3092146368834714
"more than 55,000 factories",2,0,4,5.914223899510388,1.2869517512049213
highest stock market EVER,3,0,4,5.41806913865282,1.276250728521211
result of TAX CUTS,2,0,4,5.562679633678199,1.2743174105598896
so much fake news,6,0,4,4.677658499597486,1.2670557676945369
you EVERY SINGLE DAY,3,0,4,6.3089004924343115,1.2628708216803004
the failing new york,7,0,4,5.013686267360578,1.2602020765140889
yale and harvard law,2,0,4,5.58294774993041,1.2591389933933101
have been a disaster,2,0,4,3.9133955871087163,1.2536927289307462
getting ready to meet,2,0,4,4.307869367735594,1.2301618532674954
to be the next,2,0,4,3.19686823722716,1.2294321637097063
petro poroshenko of ukraine,2,0,4,6.13952389414717,1.2262557239288245
our hearts are with,2,0,4,4.26929285662868,1.2171344927086223
we are with you,10,0,4,3.65357310369032,1.215741820794529
for the middle class,4,0,4,4.300429917247278,1.2153876113562962
the phony russian witch,2,0,4,3.896293599518898,1.2149138145956964
i am monitoring the,2,0,4,4.3244604176646035,1.2122477032432897
the phony witch hunt,2,0,4,4.8016079371826725,1.2113437995006906
stock market hit another,3,0,4,4.651592803967816,1.2111769154632794
be discussing north korea,2,0,4,4.876615229177824,1.2095160059908918
thank you so much,2,0,4,4.7038387052265485,1.2052100082464525
far more than the,2,0,4,3.5480142342366126,1.2024812988195133
we can be proud,2,0,4,4.0845810004441265,1.1932909629710762
much tougher manner.the internet,2,0,4,5.513123208317347,1.192306631051125
AMERICA IS OPEN FOR,3,0,4,5.326559657501163,1.189282724271056
meeting with KIM JONG,2,0,4,5.455423092248008,1.1866582899766898
$ 800 billion trade,2,0,4,4.758501016660466,1.1807914007527862
presidential proclamation on adjusting,2,0,4,5.429146103065296,1.1695713964398622
criminal aliens can be,2,0,4,4.96994696748436,1.167734570480479
xi jinping and madame,2,0,4,5.384041072740095,1.1664286894754674
comprehensive background checks with,2,0,4,5.634382168909763,1.1630651981323155
with kim jong un,7,0,4,5.124230739713255,1.159289487690644
the rest of the,4,0,4,3.300011416824249,1.1547799447830067
just passed in the,2,0,4,3.733548391085736,1.1521028506144873
will never be a,2,0,4,2.8884413136314833,1.1512427199838973
we are going to,9,0,4,2.6656459049654213,1.1498647126153794
at the united nations,5,0,4,3.736663589942153,1.1480894711675842
of the first responders,2,0,4,4.210855414926054,1.141518135291133
in that they have,2,0,4,3.5364027793234034,1.1359599115352619
to welcome so many,2,0,4,4.108206362404571,1.1349275472512215
on the southern border,5,0,4,3.4271546858953226,1.134088665869616
the great men and,5,0,4,3.022295403387406,1.133363845515406
meeting with kim jong,2,0,4,4.2679619778405735,1.1331528601354541
we are MAKING AMERICA,9,0,4,4.22867919628293,1.1302684664261424
out that the obama,2,0,4,3.5224914687306703,1.1262293135868477
legislative fix to ensure,2,0,4,5.197475995894486,1.1261406587045868
president xi of china,5,0,4,4.354099298186052,1.1198260579521295
a great secretary of,2,0,4,3.6652918604181712,1.117632664552698
you for the warm,2,0,4,4.039899365511465,1.1167733941728277
and unpopular individual mandate,2,0,4,5.048256512866981,1.1140510812065372
spoke to prime minister,2,0,4,4.412236266335732,1.1139358696589967
russian witch hunt hoax,2,0,4,4.691883757393073,1.1123096859230788
5th is rapidly approaching,2,0,4,4.986638709618381,1.1102286087314472
behalf of an entire,5,0,4,4.562561662422887,1.1042249312807728
at the #g7summit in,3,0,4,4.467419817238258,1.1020526116742693
must be dealt with,3,0,4,4.282082371627888,1.097000357641187
a really good and,2,0,4,3.131822186599395,1.0960052337036104
jong un of north,2,0,4,4.8117103243678265,1.0959475961515612
are with the victims,3,0,4,3.371136638310576,1.0932248400458209
insurance companies are fleeing,2,0,4,4.623684077495329,1.090945224256892
order to make us,2,0,4,3.7428494134033907,1.0901981096929683
vice president of facebook,2,0,4,4.552880375152782,1.0869989369131756
advantage of the u.s,4,0,4,3.7044493262717864,1.0869114513749867
main recruitment tool which,2,0,4,5.1929287068490035,1.0839673583309313
THANK YOU for your,5,0,4,4.2399045233038155,1.0828022264556525
i will never forget,2,0,4,3.596232917707403,1.0820668089654257
president moon of south,6,0,4,4.453997918806806,1.0790682859107716
honored to serve as,2,0,4,3.7867392871028667,1.0786190462823433
to protect our country,2,0,4,2.845847396931502,1.076775216800173
be interviewed on @foxandfriends,4,0,4,3.9686817377927723,1.0726930683230924
they are with our,2,0,4,3.5262652322854993,1.0726880443653248
witch hunt and the,2,0,4,4.669851043489944,1.0680923041077997
with the victims of,2,0,4,2.4541377684025236,1.0643991921498166
between kim jong un,2,0,4,4.910486161180865,1.0629809621317214
will be the biggest,3,0,4,3.3125690200181888,1.0623167705809429
starting to find out,2,0,4,3.6375566173129004,1.055106716912465
5-0 in congressional races,2,0,4,4.9273611634525745,1.0543645377525552
we will defend our,2,0,4,3.832908232084053,1.0522179721300722
the incredible law enforcement,2,0,4,4.161641012707667,1.0507819468317772
be interviewed by @seanhannity,2,0,4,3.92313190490144,1.0481048717767356
is a great guy,4,0,4,3.0007653363121083,1.0477227504686786
had the great honor,2,0,4,3.7353627583781837,1.0467129480798594
all over the world,5,0,4,3.411622003982586,1.0434286824942376
biggest tax cut in,3,0,4,3.6032337795127205,1.0432730369648011
NO EVIDENCE OF COLLUSION,2,0,4,4.968922589621326,1.040798402411551
of the witch hunt,2,0,4,4.294773779281179,1.0346942887197368
we have a great,2,0,4,2.0172449698455215,1.0338065792763758
ban into the united,2,0,4,3.848032741585886,1.0310222226250088
air traffic control initiative,2,0,4,4.809101136044546,1.0272774522380796
united states of america,8,0,4,3.9909455701268817,1.0244044613562298
and all of the,11,0,4,1.6136745959441376,1.0199944061644484
the united nations security,3,0,4,3.6027747999411415,1.0190286479714388
are with our great,2,0,4,2.7780365339036766,1.0154814700633068
the dems want to,5,0,4,3.1359405745428894,1.0107530314820894
james comey and all,3,0,4,3.507591191526422,1.0097168363335145
why did the DNC,2,0,4,3.512626496001453,1.006277640066448
witch hunt in american,2,0,4,4.333823409704079,0.9964004371186832
arrived at camp david,2,0,4,3.882607888415884,0.9945319100157516
is a burden on,2,0,4,3.8784720233615384,0.9926051668722496
in the american economy,2,0,4,3.396508869645224,0.9880361338755411
the wall on the,2,0,4,2.362276330623485,0.9875119382344417
never had a chance,2,0,4,3.1889338601413493,0.9872669356002645
behalf of the united,2,0,4,3.554009557362519,0.9858920445001137
i will always be,2,0,4,2.2500943895415757,0.9833586674230235
alexis tsipras of greece,2,0,4,5.0403131614157175,0.9809581439839219
the wall street journal,5,0,4,4.139870772400852,0.9801614663728325
to get the truth,2,0,4,3.3103970243340344,0.9790231652721094
have a trade deficit,2,0,4,3.585048460039721,0.9735495999345506
who are working so,2,0,4,3.137192589655951,0.9704541274175477
step up to the,2,0,4,2.9919050628822763,0.9701346922105273
do not want to,4,0,4,2.8435671924511574,0.9700535956191154
