feature,frequency
general,3
theori,3
interest,2
problem,2
employ,2
employment,1
monei,1
john,1
maynard,1
keynes,1
mr,1
keyn,1
attempt,1
solv,1
variat,1
volum,1
output,1
order,1
work,1
fundament,1
aggreg,1
suppli,1
demand,1
develop,1
system,1
analysi,1
includ,1
new,1
treatment,1
save,1
