collocation,count,count_nested,length,lambda,z
to all of,20,0,3,2.9414131118597098,6.230677768661658
when will the,6,0,3,7.576148888991616,5.844114731236932
on and on,2,0,3,10.294841343897211,5.325553560062142
and has my,5,0,3,4.690021223410682,4.872284005509936
the great state,27,0,3,3.952943173042271,4.8551042263639275
and was with,3,0,3,5.125823903372122,4.708331548228051
this is the,17,0,3,3.1537222397231863,4.461436702463831
was my great,40,0,3,2.8848909386248125,4.329450060507876
is at it,3,0,3,5.532743261124316,4.227050241031663
country and to,2,0,3,3.8066594576931494,4.017677184625072
but not for,4,0,3,4.6853374419535285,4.007695465322024
in order to,28,0,3,6.282894849040082,3.925298730718722
is it that,2,0,3,4.653504787850409,3.9200141700612297
be great for,3,0,3,3.4499589253977354,3.8954661727442783
for obama for,2,0,3,8.697243142349468,3.8577987560341525
and for all,3,0,3,2.9790962077511485,3.8439818435959623
with that being,3,0,3,7.0446869621816495,3.8401445300926547
going on with,6,0,3,3.661736652507108,3.8017972729941647
they do is,3,0,3,5.073850805060102,3.7687569309778524
for congress in,6,0,3,4.351401447695091,3.7255154985946377
will have to,4,0,3,2.3812521054933873,3.7123864144839502
great on the,2,0,3,4.897370431634156,3.707911704470791
going on in,5,0,3,7.633891565798882,3.697008555258902
with in a,2,0,3,6.079159072435199,3.6917979295074432
republicans and democrats,5,0,3,4.897394203592237,3.6917314953143894
with you and,4,0,3,3.1572572482035586,3.6558987706256962
to being on,3,0,3,3.9048943019413542,3.6167824745939976
is time to,12,0,3,5.469260027770192,3.615525549586707
is one of,5,0,3,3.219516758742538,3.6084446080440293
was all a,2,0,3,3.751001539608527,3.5861786431980587
and put the,3,0,3,3.95914700912835,3.5845445637615687
more and more,5,0,3,6.09167593888546,3.5356372935633638
think of that,2,0,3,6.795918883748738,3.4970634501518565
was great being,3,0,3,7.5721679737860805,3.492922833856234
house and senate,7,0,3,8.630041794544892,3.474380790330245
is all about,2,0,3,4.304264822750099,3.463647207653169
the american people,34,0,3,5.045290280047006,3.4548409656625165
keep up the,6,0,3,6.008605052672602,3.447781393119933
tell that to,2,0,3,7.803239807249907,3.4465583728416433
it was my,52,0,3,2.6731331359461823,3.4463118757187585
our great country,15,0,3,6.897810887744021,3.4094649269288184
was that done,2,0,3,7.682606224547403,3.4077997831926066
what are they,2,0,3,6.540110577932168,3.378701199959608
in honor of,3,0,3,5.452036649592541,3.3675702693808693
a time we,2,0,3,7.362380986646174,3.3550269971338627
coming in at,2,0,3,4.462052543287832,3.3504491907997296
the help you,2,0,3,6.014675619558087,3.3500957147408603
great to have,4,0,3,5.103186454394658,3.335099152171679
to be in,8,0,3,1.7606054232803148,3.331377072488873
these are the,4,0,3,3.5839730400935563,3.291973129547581
and now the,2,0,3,3.5585166134926567,3.2890088372738693
and even the,2,0,3,3.671821171248159,3.274739019106819
it be great,2,0,3,3.738422318020409,3.2616830594721744
for losing the,5,0,3,5.614253073037816,3.258490488755639
going on for,3,0,3,6.788778164435405,3.2514096106844415
that you are,3,0,3,2.889636860992526,3.2506959317564807
was the one,2,0,3,3.737978815122663,3.2498036545847335
is right for,4,0,3,4.137916213067598,3.2380442437515344
with russia is,4,0,3,5.484717908413565,3.237256563616765
once and for,3,0,3,6.9348044903524055,3.237025425798517
of dollars a,4,0,3,3.852645673106393,3.22791678001886
can get the,3,0,3,3.372860225943526,3.223415947306085
